trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
S1WT,09:05:00,09:08:00,1,1,Niederkleveez
S1WT,09:10:45,09:11:15,50,2,
S1WT,09:11:45,09:12:15,51,3,
S1WT,09:13:45,09:14:15,2,4,
S1WT,09:14:45,09:15:15,52,5,
S1WT,09:16:45,09:17:15,53,6,
S1WT,09:17:45,09:18:15,54,7,
S1WT,09:19:45,09:20:15,55,8,
S1WT,09:22:45,09:24:00,56,9,
S1WT,09:24:15,09:24:30,57,10,
S1WT,09:24:45,09:25:15,58,11,
S1WT,09:26:45,09:27:15,59,12,
S1WT,09:27:45,09:28:15,74,13,
S1WT,09:29:45,09:30:15,39,14,
S1WT,09:34:45,09:35:15,72,15,
S1WT,09:35:45,09:36:15,73,16,
S1WT,09:36:45,09:37:15,60,17,
S1WT,09:38:45,09:39:00,61,18,
S1WT,09:39:15,09:39:30,62,19,
S1WT,09:40:45,09:41:15,63,20,Bahnhof
S1WT,09:41:45,09:42:15,64,21,
S1WT,09:46:45,09:47:15,65,22,
S1WT,09:48:45,09:49:15,66,23,
S1WT,09:49:45,09:50:15,67,24,
S1WT,09:51:45,09:52:15,68,25,
S1WT,09:52:45,09:53:15,69,26,
S1WT,09:55:45,09:56:15,70,27,
S1WT,09:57:45,09:58:15,71,28,
S1WT,09:58:45,09:59:15,38,29,
S1WT,10:00:00,10:04:59,1,30,
S1WE,09:05:00,09:08:00,1,1,Niederkleveez
S1WE,09:10:45,09:11:15,50,2,
S1WE,09:11:45,09:12:15,51,3,
S1WE,09:13:45,09:14:15,2,4,
S1WE,09:14:45,09:15:15,52,5,
S1WE,09:16:45,09:17:15,53,6,
S1WE,09:17:45,09:18:15,54,7,
S1WE,09:19:45,09:20:15,55,8,
S1WE,09:22:45,09:24:00,56,9,
S1WE,09:24:15,09:24:30,57,10,
S1WE,09:24:45,09:25:15,58,11,
S1WE,09:26:45,09:27:15,59,12,
S1WE,09:27:45,09:28:15,74,13,
S1WE,09:29:45,09:30:15,39,14,
S1WE,09:34:45,09:35:15,72,15,
S1WE,09:35:45,09:36:15,73,16,
S1WE,09:36:45,09:37:15,60,17,
S1WE,09:38:45,09:39:00,61,18,
S1WE,09:39:15,09:39:30,62,19,
S1WE,09:40:45,09:41:15,63,20,Bahnhof
S1WE,09:41:45,09:42:15,64,21,
S1WE,09:46:45,09:47:15,65,22,
S1WE,09:48:45,09:49:15,66,23,
S1WE,09:49:45,09:50:15,67,24,
S1WE,09:51:45,09:52:15,68,25,
S1WE,09:52:45,09:53:15,69,26,
S1WE,09:55:45,09:56:15,70,27,
S1WE,09:57:45,09:58:15,71,28,
S1WE,09:58:45,09:59:15,38,29,
S1WE,10:00:00,10:04:59,1,30,
S2WT,11:05:00,11:08:00,1,1,Niederkleveez
S2WT,11:10:45,11:11:15,50,2,
S2WT,11:11:45,11:12:15,51,3,
S2WT,11:13:45,11:14:15,2,4,
S2WT,11:14:45,11:15:15,52,5,
S2WT,11:16:45,11:17:15,53,6,
S2WT,11:17:45,11:18:15,54,7,
S2WT,11:19:45,11:20:15,55,8,
S2WT,11:22:45,11:24:00,56,9,
S2WT,11:24:15,11:24:30,57,10,
S2WT,11:24:45,11:25:15,58,11,
S2WT,11:26:45,11:27:15,59,12,
S2WT,11:27:45,11:28:15,74,13,
S2WT,11:29:45,11:30:15,39,14,
S2WT,11:34:45,11:35:15,72,15,
S2WT,11:35:45,11:36:15,73,16,
S2WT,11:36:45,11:37:15,60,17,
S2WT,11:38:45,11:39:00,61,18,
S2WT,11:39:15,11:39:30,62,19,
S2WT,11:40:45,11:41:15,63,20,Bahnhof
S2WT,11:41:45,11:42:15,64,21,
S2WT,11:46:45,11:47:15,65,22,
S2WT,11:48:45,11:49:15,66,23,
S2WT,11:49:45,11:50:15,67,24,
S2WT,11:51:45,11:52:15,68,25,
S2WT,11:52:45,11:53:15,69,26,
S2WT,11:55:45,11:56:15,70,27,
S2WT,11:57:45,11:58:15,71,28,
S2WT,11:58:45,11:59:15,38,29,
S2WT,12:00:00,12:04:59,1,30,
S2WE,11:05:00,11:08:00,1,1,Niederkleveez
S2WE,11:10:45,11:11:15,50,2,
S2WE,11:11:45,11:12:15,51,3,
S2WE,11:13:45,11:14:15,2,4,
S2WE,11:14:45,11:15:15,52,5,
S2WE,11:16:45,11:17:15,53,6,
S2WE,11:17:45,11:18:15,54,7,
S2WE,11:19:45,11:20:15,55,8,
S2WE,11:22:45,11:24:00,56,9,
S2WE,11:24:15,11:24:30,57,10,
S2WE,11:24:45,11:25:15,58,11,
S2WE,11:26:45,11:27:15,59,12,
S2WE,11:27:45,11:28:15,74,13,
S2WE,11:29:45,11:30:15,39,14,
S2WE,11:34:45,11:35:15,72,15,
S2WE,11:35:45,11:36:15,73,16,
S2WE,11:36:45,11:37:15,60,17,
S2WE,11:38:45,11:39:00,61,18,
S2WE,11:39:15,11:39:30,62,19,
S2WE,11:40:45,11:41:15,63,20,Bahnhof
S2WE,11:41:45,11:42:15,64,21,
S2WE,11:46:45,11:47:15,65,22,
S2WE,11:48:45,11:49:15,66,23,
S2WE,11:49:45,11:50:15,67,24,
S2WE,11:51:45,11:52:15,68,25,
S2WE,11:52:45,11:53:15,69,26,
S2WE,11:55:45,11:56:15,70,27,
S2WE,11:57:45,11:58:15,71,28,
S2WE,11:58:45,11:59:15,38,29,
S2WE,12:00:00,12:05:00,1,30,
S3WT,17:05:00,17:08:00,1,1,Niederkleveez
S3WT,17:10:45,17:11:15,50,2,
S3WT,17:11:45,17:12:15,51,3,
S3WT,17:13:45,17:14:15,2,4,
S3WT,17:14:45,17:15:15,52,5,
S3WT,17:16:45,17:17:15,53,6,
S3WT,17:17:45,17:18:15,54,7,
S3WT,17:19:45,17:20:15,55,8,
S3WT,17:22:45,17:24:00,56,9,
S3WT,17:24:15,17:24:30,57,10,
S3WT,17:24:45,17:25:15,58,11,
S3WT,17:26:45,17:27:15,59,12,
S3WT,17:27:45,17:28:15,74,13,
S3WT,17:29:45,17:30:15,39,14,
S3WT,17:34:45,17:35:15,72,15,
S3WT,17:35:45,17:36:15,73,16,
